Date,SPY,QQQ,IWM,EFA,EEM,TLT,GLD,DBC
2007-01-03,98.8694839477539,37.038883209228516,60.278072357177734,41.08803939819336,25.692623138427734,48.42681884765625,62.279998779296875,19.330032348632812
2007-01-04,99.07929229736328,37.74128723144531,60.440006256103516,40.97066116333008,25.337818145751953,48.720375061035156,61.650001525878906,18.826475143432617
2007-01-05,98.28900146484375,37.56138610839844,59.17522048950195,40.35582733154297,24.596988677978516,48.508365631103516,60.16999816894531,18.76150131225586
2007-01-08,98.7436294555664,37.587100982666016,58.94387435913086,40.411712646484375,24.775510787963867,48.5953369140625,60.47999954223633,18.858964920043945
2007-01-09,98.6596908569336,37.775543212890625,59.4991340637207,40.45083999633789,24.22211265563965,48.5953369140625,60.849998474121094,18.69652557373047
2007-01-10,98.98837280273438,38.22097396850586,59.961875915527344,40.14342498779297,24.166330337524414,48.37787628173828,60.59000015258789,18.420385360717773
2007-01-11,99.42198944091797,38.6150016784668,60.33203125,40.400535583496094,24.472036361694336,48.095088958740234,60.630001068115234,18.396015167236328
2007-01-12,100.17729187011719,38.812007904052734,60.91044616699219,40.8588752746582,24.969642639160156,47.87217330932617,62.16999816894531,18.826475143432617
2007-01-16,99.98149871826172,38.78630828857422,60.5017204284668,40.80857849121094,25.058897018432617,47.975486755371094,61.970001220703125,18.396015167236328
2007-01-17,100.02345275878906,38.46937942504883,60.23951721191406,40.83094024658203,24.95401954650879,47.828651428222656,62.63999938964844,18.558456420898438
2007-01-18,99.6877670288086,37.75840759277344,59.73822021484375,40.69120788574219,24.690717697143555,47.975486755371094,62.2599983215332,18.3635311126709
2007-01-19,99.88356018066406,37.83551025390625,59.96957778930664,41.18864822387695,25.134767532348633,47.844970703125,63.0,18.63967514038086
2007-01-22,99.57588958740234,37.42433547973633,59.529998779296875,40.98183822631836,25.10576057434082,47.95915985107422,62.720001220703125,18.655916213989258
2007-01-23,99.86961364746094,37.330116271972656,60.09297180175781,41.345149993896484,25.6770076751709,47.643768310546875,64.2300033569336,19.24881362915039
2007-01-24,100.67387390136719,37.946861267089844,60.74850845336914,41.61345291137695,25.900144577026367,47.63836669921875,64.33000183105469,19.086374282836914
2007-01-25,99.49188995361328,37.4586067199707,59.98500442504883,40.9371223449707,25.103532791137695,47.295738220214844,64.05999755859375,18.915815353393555
2007-01-26,99.40105438232422,37.32155227661133,60.208648681640625,41.015384674072266,25.257497787475586,47.25770568847656,64.16999816894531,19.151350021362305
2007-01-29,99.34503936767578,37.35581970214844,60.733089447021484,41.060089111328125,24.92278289794922,47.15442657470703,63.77000045776367,18.76150131225586
2007-01-30,99.86255645751953,37.372947692871094,61.06470489501953,41.339561462402344,25.308820724487305,47.20876693725586,64.22000122070312,19.28129768371582
2007-01-31,100.53402709960938,37.749855041503906,61.19579315185547,41.49607467651367,25.505176544189453,47.605716705322266,64.83000183105469,19.484346389770508
2007-02-01,101.13542938232422,37.68987274169922,61.8513298034668,41.84261703491211,25.817583084106445,47.548370361328125,65.22000122070312,19.4112491607666
2007-02-02,101.27530670166016,37.82693099975586,61.889915466308594,41.75877380371094,25.739477157592773,47.60844802856445,64.27999877929688,19.663026809692383
2007-02-05,101.30327606201172,37.79267883300781,61.88216018676758,41.62462615966797,25.764026641845703,47.67395782470703,64.30999755859375,19.598052978515625
2007-02-06,101.33129119873047,37.74128723144531,62.03641891479492,41.94881057739258,26.018409729003906,47.936065673828125,64.79000091552734,19.500593185424805
2007-02-07,101.55506134033203,38.08392333984375,62.60712814331055,42.066192626953125,25.917999267578125,48.07796859741211,64.62999725341797,19.26505470275879
2007-02-08,101.42219543457031,38.07535934448242,62.50690460205078,41.89850616455078,25.779647827148438,48.116214752197266,65.5199966430664,19.711759567260742
2007-02-09,100.66688537597656,37.587100982666016,61.936161041259766,41.71964645385742,25.471708297729492,47.84318923950195,66.12000274658203,19.83358383178711
2007-02-12,100.3241958618164,37.44148254394531,61.76649475097656,41.557552337646484,25.297658920288086,47.73401641845703,65.66999816894531,19.45998191833496
2007-02-13,101.17037963867188,37.56996536254883,62.22148132324219,42.08854675292969,25.699323654174805,47.63026428222656,65.83999633789062,19.817344665527344
2007-02-14,101.83483123779297,38.20384979248047,62.314056396484375,42.65866470336914,26.25271224975586,48.083412170410156,66.37000274658203,19.549320220947266
2007-02-15,101.9677505493164,38.42655563354492,62.36033248901367,42.708980560302734,26.268333435058594,48.225372314453125,66.41000366210938,19.549320220947266
2007-02-16,101.91876983642578,38.298072814941406,62.59944152832031,42.69221496582031,26.328580856323242,48.3946418762207,66.36000061035156,19.890438079833984
2007-02-20,102.13557434082031,38.58930587768555,63.20094299316406,42.753692626953125,26.397762298583984,48.50387954711914,65.30999755859375,19.6711483001709
2007-02-21,102.09358978271484,38.70922088623047,63.316650390625,42.53570556640625,26.475858688354492,48.42195129394531,67.3499984741211,20.093486785888672
2007-02-22,102.0166015625,38.9062385559082,63.540306091308594,42.72575759887695,26.408912658691406,48.15987777709961,67.1500015258789,20.36962890625
2007-02-23,101.61798095703125,38.769203186035156,63.20094299316406,42.85988235473633,26.219240188598633,48.50387954711914,67.72000122070312,20.49958038330078
2007-02-26,101.52708435058594,38.580726623535156,63.15471649169922,42.88225555419922,26.208084106445312,48.825950622558594,68.0999984741211,20.556432723999023
2007-02-27,97.5616683959961,36.99603271484375,60.19322204589844,41.15510940551758,24.077072143554688,49.442909240722656,65.41000366210938,20.166582107543945
2007-02-28,98.56175231933594,37.11597442626953,60.79478073120117,41.44575881958008,24.679563522338867,49.21904373168945,66.4800033569336,20.4752140045166
2007-03-01,98.2680435180664,36.944671630859375,60.47854995727539,41.020957946777344,24.32476043701172,49.187843322753906,65.81999969482422,20.32901954650879
